ID Company,Country,Outlet Name,Street,Postal_Code,City,International_Preselect,Phone,Email
1,France,GARAGE DEMORTIER & FILS,282 PLACE FERRER,59264,ONNAING,+33,03 27 35 47 06,fordonnaing@wanadoo.fr
2,France,LA CARROSSERIE DE LA PRESQU'ILE,ZA de Kerdanvez,29160,CROZON,+33,02 98 27 25 97,lacarrosseriedelapresquile@gmail.com
3,France,DUGARDIN AUTOMOBILES,Rue de la Latte Prolongée,59223,RONCQ,+33,03 20 28 29 99,pcallebaut@groupedugardin.fr
4,France,DUGARDIN AUTOMOBILES,47 chemin des Cavaliers,62120,AIRESURLALYS,+33,03 21 98 58 05,pcallebaut@groupedugardin.fr
5,France,SAM AUTO,PONT MESGRALL,29800,LAFORESTLANDERNEAU,+33,02 98 20 28 23,moal.anthony@free.fr
6,France,ENZO MAIORANA,110 Rte de Collonges,74160,Archamps,+33,04 50 43 72 97,enzomaiorana74@gmail.com
7,France,GARAGE DU COJEUL,10 rue G. Debeugny,62128,HENINsurCOJEUL,+33,03 21 22 55 92,garage.ducojeul@orange.fr
8,France,GARAGE DE LA RAMPE,109 rue du Fief du Château,49530,DRAIN,+33,02 40 98 23 21,garagedelarampe@orange.fr
9,France,GARAGE GIRAUDEAU,Rue Pierre Chambord,87150,ORADOURsurVAYRES,+33,05 55 78 10 82,garage.giraudeau@wanadoo.fr
10,France,GARAGE HOVART,75 rue Louis Braille,59790,RONCHIN,+33,03 20 53 99 12,Marie.RAMEAUX@wanadoo.fr
11,France,GARAGE DUPONT,18 rue du Planty,86300,CHAUVIGNY,+33,05 49 46 96 68,garagedupontsarl@hotmail.fr
12,France,PROVOST AUTOMOBILES,ZA le Pré Vert,86600,SAINTSAUVANT,+33,05 49 59 72 26,gprovostautomobiles@gmail.com
13,France,CARHAIX J-B AUTOMOBILE,5 rue Raymond Poincaré,29270,CARHAIX,+33,02 98 93 04 29,carhaixauto-ford@wanadoo.fr
14,France,LITTORAL AUTOMOBILE,Pendreff,29120,PLOMEUR,+33,02 98 58 13 96,littoral.auto@wanadoo.fr
15,France,GARAGE GOUREAU,47 avenue du Gâtinais,45110,CHATEAUNEUF/LOIRE,+33,02 38 58 92 46,ford-chateauneuf@hotmail.fr
16,France,GARAGE RELAIS DU LORMOY,"34, route de Montlhéry",91310,LONGPONTsurORGE,+33,01 69 01 08 59,relaisdelormoy@hotmail.fr
17,France,AUTOMOBILES JUSTEAU,"1, rue de Toscane - La Bérangerais",44240,LACHAPELLESURERDRE,+33,02 40 29 71 71,automobiles@justeau.fr
18,France,GARAGE MARSAC,19 rue des Forges,44110,ERBRAY,+33,02 40 55 01 23,garagealainmarsac@orange.fr
19,France,BRIAND AUTOMOBILES,4 rue de la Concorde,44130,BLAIN,+33,02 40 79 84 73,alain.briand21@wanadoo.fr
20,France,GARAGE GAUTIER,6 rue Joseph Cugnot,44470,CARQUEFOU,+33,02 40 50 85 35,ggegautier@hotmail.fr
21,France,GARAGE SCHOULEUR,RN12 Lieu-dit Les gaillons,61400,SAINTLANGISLESMORTAGNE,+33,02 33 25 10 01,sarl.schouleur@wanadoo.fr
22,France,GARAGE COMBOT,Avenue F. Mitterand,56600,LANESTER,+33,02 97 76 23 28,jose.combot@wanadoo.fr
23,France,GESTEL AUTOMOBILES,15 rue de Lesbin,56530,GESTEL,+33,02 97 05 05 45,gestel.automobiles@wanadoo.fr
24,France,RM AUTOMOBILES,24 rue de Scaer,29380,BANNALEC,+33,02 98 39 80 61,contact@rmauto-ford.com
25,France,GARAGE SUEUR,Rue du Puits à Marne,80700,ROYE,+33,03 22 87 01 12,garage.sueur80@orange.fr
26,France,GARAGE DE BRUYERES,87 rue de la Libération,91680,BRUYERESLECHATEL,+33,01 64 90 30 03,chocars91@gmail.com
27,France,GARAGE RICHEROLLE,101 avenue de Paris,91410,DOURDAN,+33,01 64 59 72 11,lauryane.richerolle@aliceadsl.fr
28,France,GARAGE LES 3 COURONNES,RD 160,85130,LAVERRIE,+33,02 51 65 97 73,gge-3couronnes@wanadoo.fr
29,France,GARAGE MADIOT,27 rue Gaston Joubin,49500,SEGRE,+33,02 41 92 14 70,garage.madiot@wanadoo.fr
30,France,GARAGE DELEPINE-BELBEZE,ZA Route de Seiches,49330,ETRICHE,+33,02 41 42 14 88,garage.delepine@yahoo.fr
31,France,GARAGE FORGET,Baulieu,49124,PLESSIS-GRAMMOIRE,+33,02 41 76 54 76,garage.forget@wanadoo.fr
32,France,GARAGE POUPET,10 avenue des Sables,85500,LESHERBIERS,+33,02 51 91 00 59,contact@garagepoupet-lesherbiers.fr
33,France,GARAGE LEMOINE,ZA Le Prad Velin,44740,BATZ-SUR-MER,+33,02 40 23 93 16,garage-lemoine@wanadoo.fr
34,France,LA BAULE AUTOMOBILES,12 rue de la grenouille verte,44350,GUERANDE,+33,02 40 60 23 62,labaule-autos@orange.fr
35,France,GARAGE GUERIN,29 rue du Mené,22600,LOUDEAC,+33,02 96 28 04 97,guerin.garage.ford@hotmail.fr
36,France,GARAGE LACROIX HELAOUET,25 Route Sainte Suzanne,22530,MURDEBRETAGNE,+33,02 96 28 50 18,lacroix-helaouet@orange.fr
37,France,GARAGE VALLEE MICKAEL,"12, rue Duguay Trouin",35300,FOUGERES,+33,02 99 99 69 59,garage.mickael.vallee@orange.fr
38,France,LEPANNETIER AUTOMOBILES,35140 SAINT AUBIN DU CORMIER,tél:0,299391166,+33,Not Available,lepannetier.auto@orange.fr
39,France,BROCELIANDE AUTO FORD,Z.A. Du bois vert B.P 40,56800,PLOERMEL,+33,02 97 74 00 51,broceliande.auto@wanadoo.fr
40,France,GARAGE SIMMONNEAU,ZA De l'Espérance BP 30014 St Hilaire de Loulay,85600,MONTAIGU,+33,02 51 94 02 68,simonneau.automobiles@orange.fr
41,France,AM AUTOS,20 route de Pontchâteau,44530,DREFFEAC,+33,02 40 66 90 35,am.automobiles@wanadoo.fr
42,France,LES JARRIES AUTOMOBILES,ZAC Les terres Jarries II Rue du Traité de Paris,44210,PORNIC,+33,02 40 82 35 11,fordpornic2@gmail.com
43,France,GARAGE ROUXEL,8 rue de la Barre,35600,REDON,+33,02 99 71 17 65,garage.rouxel@wanadoo.fr
44,France,LANGON AUTO SERVICES,ZA de la Gaudinais,35660,LANGON,+33,02 99 08 77 47,las.35@orange.fr
